배출구명,측정일자,기상,기온℃,습도％,기압mmHg,풍향,풍속m／sec,가스속도m／s,가스온도℃,수분함량％,실측산소농도％,표준산소농도％,배출가스유량S㎥／min,오염물질,농도,배출허용기준농도,배출허용기준체크,측정업체
#A2020237,2.02503E+11,맑음,12,55,772.1,북동,2,2.7,53,1.73,0,0,10.9,먼지,5.4,21,,보아스환경기술
#A2020237,2.02503E+11,맑음,12,55,772.1,북동,2,2.7,53,1.73,0,0,10.9,황산화물,0,140,,보아스환경기술
#A2020237,2.02503E+11,맑음,12,55,772.1,북동,2,2.7,53,1.73,0,0,10.9,염화수소,0.1,3,,보아스환경기술
#A2020237,2.02503E+11,맑음,12,55,772.1,북동,2,2.7,53,1.73,0,0,10.9,불소화합물(F로서),0.15,2,,보아스환경기술
#A2020237,2.02503E+11,맑음,12,55,772.1,북동,2,2.7,53,1.73,0,0,10.9,암모니아,0,30,,보아스환경기술
#A2020237,2.02503E+11,맑음,12,55,772.1,북동,2,2.7,53,1.73,0,0,10.9,구리화합물(Cu로서),0,4,,보아스환경기술
#A2020237,2.02503E+11,맑음,12,55,772.1,북동,2,2.7,53,1.73,0,0,10.9,크롬화합물(Cr로서),0,0.4,,보아스환경기술
#A2020237,2.02503E+11,맑음,12,55,772.1,북동,2,2.7,53,1.73,0,0,10.9,납화합물(Pb로서),0.014,0.39,,보아스환경기술
#A2020237,2.02503E+11,맑음,12,55,772.1,북동,2,2.7,53,1.73,0,0,10.9,카드뮴화합물(Cd로서),0.004,0.1,,보아스환경기술
#A2020237,2.02503E+11,맑음,12,55,772.1,북동,2,2.7,53,1.73,0,0,10.9,니켈 및 그 화합물,0.002,1,,보아스환경기술
#A2020237,2.02503E+11,맑음,12,55,772.1,북동,2,2.7,53,1.73,0,0,10.9,아연화합물(Zn로서),0.62,4,,보아스환경기술
#A2020237,2.02503E+11,맑음,12,55,772.1,북동,2,2.7,53,1.73,0,0,10.9,비소화합물(As로서),0.022,0.25,,보아스환경기술
#A2020237,2.02503E+11,맑음,12,55,772.1,북동,2,2.7,53,1.73,0,0,10.9,수은화합물(Hg로서),0.00257,0.1,,보아스환경기술
#A2020237,2.02503E+11,맑음,12,55,772.1,북동,2,2.7,53,1.73,0,0,10.9,벤젠,0,2.9,,보아스환경기술
#A2020086,2.02503E+11,맑음,12,39,766.9,북,3,2.22,53,3.66,0,0,6.2,먼지,9.8,21,,보아스환경기술
#A2020086,2.02503E+11,맑음,12,39,766.9,북,3,2.22,53,3.66,0,0,6.2,황산화물,0,140,,보아스환경기술
#A2020086,2.02503E+11,맑음,12,39,766.9,북,3,2.22,53,3.66,0,0,6.2,염화수소,0.1,3,,보아스환경기술
#A2020086,2.02503E+11,맑음,12,39,766.9,북,3,2.22,53,3.66,0,0,6.2,불소화합물(F로서),0.12,2,,보아스환경기술
#A2020086,2.02503E+11,맑음,12,39,766.9,북,3,2.22,53,3.66,0,0,6.2,암모니아,0,30,,보아스환경기술
#A2020086,2.02503E+11,맑음,12,39,766.9,북,3,2.22,53,3.66,0,0,6.2,구리화합물(Cu로서),0,4,,보아스환경기술
#A2020086,2.02503E+11,맑음,12,39,766.9,북,3,2.22,53,3.66,0,0,6.2,크롬화합물(Cr로서),0,0.4,,보아스환경기술
#A2020086,2.02503E+11,맑음,12,39,766.9,북,3,2.22,53,3.66,0,0,6.2,납화합물(Pb로서),0.03,0.39,,보아스환경기술
#A2020086,2.02503E+11,맑음,12,39,766.9,북,3,2.22,53,3.66,0,0,6.2,카드뮴화합물(Cd로서),0.003,0.1,,보아스환경기술
#A2020086,2.02503E+11,맑음,12,39,766.9,북,3,2.22,53,3.66,0,0,6.2,니켈 및 그 화합물,0,1,,보아스환경기술
#A2020086,2.02503E+11,맑음,12,39,766.9,북,3,2.22,53,3.66,0,0,6.2,아연화합물(Zn로서),0.63,4,,보아스환경기술
#A2020086,2.02503E+11,맑음,12,39,766.9,북,3,2.22,53,3.66,0,0,6.2,비소화합물(As로서),0.018,0.25,,보아스환경기술
#A2020086,2.02503E+11,맑음,12,39,766.9,북,3,2.22,53,3.66,0,0,6.2,수은화합물(Hg로서),0.00065,0.1,,보아스환경기술
#A2020086,2.02503E+11,맑음,12,39,766.9,북,3,2.22,53,3.66,0,0,6.2,벤젠,0,2.9,,보아스환경기술
#A2020238,2.02503E+11,맑음,12,55,772.1,북동,2,2.24,55.3,5.36,0,0,8.7,먼지,1.1,21,,보아스환경기술
#A2020238,2.02503E+11,맑음,12,55,772.1,북동,2,2.24,55.3,5.36,0,0,8.7,황산화물,0,140,,보아스환경기술
#A2020238,2.02503E+11,맑음,12,55,772.1,북동,2,2.24,55.3,5.36,0,0,8.7,염화수소,0,3,,보아스환경기술
#A2020238,2.02503E+11,맑음,12,55,772.1,북동,2,2.24,55.3,5.36,0,0,8.7,불소화합물(F로서),0,2,,보아스환경기술
#A2020238,2.02503E+11,맑음,12,55,772.1,북동,2,2.24,55.3,5.36,0,0,8.7,암모니아,0,30,,보아스환경기술
#A2020238,2.02503E+11,맑음,12,55,772.1,북동,2,2.24,55.3,5.36,0,0,8.7,구리화합물(Cu로서),0.029,4,,보아스환경기술
#A2020238,2.02503E+11,맑음,12,55,772.1,북동,2,2.24,55.3,5.36,0,0,8.7,크롬화합물(Cr로서),0,0.4,,보아스환경기술
#A2020238,2.02503E+11,맑음,12,55,772.1,북동,2,2.24,55.3,5.36,0,0,8.7,납화합물(Pb로서),0.086,0.39,,보아스환경기술
#A2020238,2.02503E+11,맑음,12,55,772.1,북동,2,2.24,55.3,5.36,0,0,8.7,카드뮴화합물(Cd로서),0.002,0.1,,보아스환경기술
#A2020238,2.02503E+11,맑음,12,55,772.1,북동,2,2.24,55.3,5.36,0,0,8.7,니켈 및 그 화합물,0.004,1,,보아스환경기술
#A2020238,2.02503E+11,맑음,12,55,772.1,북동,2,2.24,55.3,5.36,0,0,8.7,아연화합물(Zn로서),0.353,4,,보아스환경기술
#A2020238,2.02503E+11,맑음,12,55,772.1,북동,2,2.24,55.3,5.36,0,0,8.7,비소화합물(As로서),0.022,0.25,,보아스환경기술
#A2020238,2.02503E+11,맑음,12,55,772.1,북동,2,2.24,55.3,5.36,0,0,8.7,수은화합물(Hg로서),0.00723,0.1,,보아스환경기술
#A2020238,2.02503E+11,맑음,12,55,772.1,북동,2,2.24,55.3,5.36,0,0,8.7,벤젠,0,2.9,,보아스환경기술
#A2020087,2.02503E+11,맑음,12,39,766.9,북,3,2.25,55.7,4.13,0,0,6.2,먼지,0.8,21,,보아스환경기술
#A2020087,2.02503E+11,맑음,12,39,766.9,북,3,2.25,55.7,4.13,0,0,6.2,황산화물,0,140,,보아스환경기술
#A2020087,2.02503E+11,맑음,12,39,766.9,북,3,2.25,55.7,4.13,0,0,6.2,염화수소,0.1,3,,보아스환경기술
#A2020087,2.02503E+11,맑음,12,39,766.9,북,3,2.25,55.7,4.13,0,0,6.2,불소화합물(F로서),0.13,2,,보아스환경기술
#A2020087,2.02503E+11,맑음,12,39,766.9,북,3,2.25,55.7,4.13,0,0,6.2,암모니아,0,30,,보아스환경기술
#A2020087,2.02503E+11,맑음,12,39,766.9,북,3,2.25,55.7,4.13,0,0,6.2,구리화합물(Cu로서),0,4,,보아스환경기술
#A2020087,2.02503E+11,맑음,12,39,766.9,북,3,2.25,55.7,4.13,0,0,6.2,크롬화합물(Cr로서),0,0.4,,보아스환경기술
#A2020087,2.02503E+11,맑음,12,39,766.9,북,3,2.25,55.7,4.13,0,0,6.2,납화합물(Pb로서),0.063,0.39,,보아스환경기술
#A2020087,2.02503E+11,맑음,12,39,766.9,북,3,2.25,55.7,4.13,0,0,6.2,카드뮴화합물(Cd로서),0,0.1,,보아스환경기술
#A2020087,2.02503E+11,맑음,12,39,766.9,북,3,2.25,55.7,4.13,0,0,6.2,니켈 및 그 화합물,0.003,1,,보아스환경기술
#A2020087,2.02503E+11,맑음,12,39,766.9,북,3,2.25,55.7,4.13,0,0,6.2,아연화합물(Zn로서),0.266,4,,보아스환경기술
#A2020087,2.02503E+11,맑음,12,39,766.9,북,3,2.25,55.7,4.13,0,0,6.2,비소화합물(As로서),0.031,0.25,,보아스환경기술
#A2020087,2.02503E+11,맑음,12,39,766.9,북,3,2.25,55.7,4.13,0,0,6.2,수은화합물(Hg로서),0.00052,0.1,,보아스환경기술
#A2020087,2.02503E+11,맑음,12,39,766.9,북,3,2.25,55.7,4.13,0,0,6.2,벤젠,0,2.9,,보아스환경기술
#A2013003,2.02503E+11,흐림,14,28,765.8,북동,4,8.41,50,1.81,0,0,29.8,먼지,0.5,21,,보아스환경기술
