1.1 기본 고객사 리스트,,,,,,,
업체,항목,,,,,,
,고객사 코드,고객사명 (정식),고객사명 (약칭),사업장 구분,주소,업종,사업장 종별
고려아연,CUST001,고려아연㈜온산제련소,고려아연,-,울산광역시 울주군 온산읍 이진로 139,"연 및 아연 제련, 정련 및 합금 제조업",1종
삼양사 1공장,CUST002,㈜삼양사 울산1공장,삼양사1공장,-,울산광역시 남구 장생포로 285,"설탕, 이온교환수지, 합성수지 제조업",1종
삼양사 2공장,CUST003,㈜삼양사 울산2공장,삼양사2공장,-,울산광역시 남구 매압로 115,전분 및 당류 제조업,1종
SK에코프라임,CUST004,에스케이에코프라임㈜,SK에코프라임,-,"울산광역시 남구 처용로 718, 46동",바이오 연료 및 혼합물 제조업,3종
한국특장차,CUST005,한국특장차㈜,한국특장차,-,울산광역시 울주군 온산읍 대정로 118,차체 및 특장차 제조업,4종
협운스톨트항운,CUST006,협운스톨트항운㈜,협운스톨트,-,울산광역시 울주군 온산읍 회학3길 36,사업시설 및 산업용품 청소업,5종
웨스트레이크코리아,CUST007,웨스트레이크코리아㈜,웨스트레이크코리아,-,울산광역시 울주군 온산읍 이진로 19,합성수지 및 기타 플라스틱물질 제조업,4종
케이오씨,CUST008,케이오씨㈜,케이오씨,-,울산광역시 울주군 온산읍 이진로 67-34,"기타 기초 무,유기화학물질 제조업",4종
엔나노텍,CUST009,㈜엔나노텍,엔나노텍,-,경주시 외동읍 제내1공단길 20,지정폐기물종합재활용 및 화학제품 제조업,5종
대암산업,CUST010,대암산업㈜ 1공장,대암산업,-,울산광역시 남구 용연로 98번길 16,도장 및 기타피막 처리업,4종
한덕화학,CUST011,한덕화학㈜,한덕화학,-,울산광역시 남구 여천로217번길 19,석탄화학계 화학물 및 기타 기초유기화학물질 제조업,5종
에스엠랩,CUST012,㈜에스엠랩,에스엠랩,-,울산광역시 울주군 가천공단1길 27,축전지 제조업,2종
디씨엠,CUST013,디씨엠주식회사,디씨엠,-,경상남도 양산시 웅상농공단지길 55,그 외 기타 1차 철강 제조업,4종
현대오일터미널,CUST014,현대오일터미널㈜,현대오일터미널,-,울산광역시 울주군 온산읍 산암로 311-96,위험물품 보관업,4종
케이에스케미칼,CUST015,케이에스케미칼㈜,케이에스케미칼,-,울산광역시 울주군 온산읍 화산3길 12,기타화학제품 제조업,4종
효성탱크터미널,CUST016,㈜효성 탱크터미널,효성탱크터미널,-,울산광역시 울주군 온산읍 당목길 50,위험물품 보관업,5종
케이디탱크터미널,CUST017,케이디탱크터미널㈜,케이디탱크터미널,-,울산광역시 울주군 산암로 213,위험물품 보관업,4종
현대모비스대구전동화공장,CUST018,현대모비스㈜ 대구전동화공장,현대모비스 대구전동화공장,-,대구 달성군 유가읍 테크노순환로7길 10,자동차용 신품 동력 전달장치 제조업,5종
케이디텍 인더스트리,CUST019,주식회사 케이디텍인더스트리,케이디텍,-,울산광역시 울주군 청량읍 처용산업5길 7-5,금속조립구조제 제조업,5종
에팩,CUST020,주식회사 에팩,에팩,-,울산광역시 남구 장생포로 285,"증기,냉온수 및 공기조절 공급업",1종
세진,CUST021,㈜세진,세진,-,경주시 양남면 동남로 167-42,그 외 기타 자동차부품 제조업,3종
한국보팍터미날,CUST022,㈜한국보팍터미날,한국보팍터미날,제1사업장,울산광역시 남구 부두로 101,위험물품 보관업,4종
한국보팍터미날,CUST022,㈜한국보팍터미날,한국보팍터미날,제2사업장,울산광역시 남구 매암로 16,위험물품 보관업,4종
클린코리아 안강공장,CUST023,㈜클린코리아 안강공장,클린코리아,-,경주시 안강읍 두류길 162,지정폐기물 처리업,4종
홍인화학,CUST024,홍인화학㈜,홍인화학,-,울산광역시 남구 사평로 216,기타기초무기화학물질 제조업,5종
부승화학,CUST025,㈜부승화학,부승화학,-,울산광역시 울주군 온산읍 회학3길 28,기타기초무기화학물질 제조업,5종
누보,CUST026,㈜누보,누보,-,울산광역시 울주군 온산읍 대정로 160,복합비료 및 기타화학비료 제조업,4종
제이엠씨,CUST027,㈜제이엠씨,제이엠씨,-,울산광역시 울주군 온산읍 이진로 71,석탄화학계 화학물 및 기타 기초유기화학물질 제조업,1종
페트로코너지,CUST028,㈜페트로코너지,페트로코너지,-,경상남도 양산시 상북면 효충2길 13,"증기,냉온수 및 공기조절 공급업",1종
에스에이치팩,CUST029,㈜에스에이치팩,에스에이치팩,1공장,부산광역시 강서구 화전산단5로 81,유압기기 제조업,2종
에스에이치팩,CUST029,㈜에스에이치팩,에스에이치팩,2공장,부산광역시 강서구 화전산단5로 93,유압기기 제조업,2종
한융금속,CUST030,한융금속㈜,한융금속,-,울산광역시 울주군 온산읍 처용산업1길 11,"알루미늄 제련, 정련 및 합금 제조업",1종
30,,,,,,,
