,,,,,,,2.1 굴뚝/배출구 정보,
항목,항목,항목,항목,항목,항목,항목,업체,고객사 코드
굴뚝 번호,굴뚝코드,굴뚝 정식 명칭,배출시설 종류,굴뚝 높이(m),굴뚝 안지름(m),굴뚝 종별(종),,
#A2020007,CUST001-#A2020007,Silp PC 300 B/F,고체입자상물질 저장시설,-,0.30 ,5,고려아연,CUST001
#A2020009,CUST001-#A2020009,WAL Daily Bin B/F,고체입자상물질 저장시설,-,0.34 ,5,고려아연,CUST001
#A2020010,CUST001-#A2020010,High Silo B/F,고체입자상물질 저장시설,-,0.36 ,5,고려아연,CUST001
#A2020011,CUST001-#A2020011,Low Silo B/F,고체입자상물질 저장시설,-,0.24 ,5,고려아연,CUST001
#A2020012,CUST001-#A2020012,Silo Main Bag Filter,고체입자상물질 저장시설,-,0.73 ,5,고려아연,CUST001
#A2020013,CUST001-#A2020013,S/B Calcine Bin B/F,고체입자상물질 저장시설,-,0.25 ,5,고려아연,CUST001
#A2020024,CUST001-#A2020024,O/L SCR,혼합시설,19.6 ,0.60 ,4,고려아연,CUST001
#A2020025,CUST001-#A2020025,S/F Oxide Bin B/F (무동력),고체입자상물질 저장시설,23.1 ,0.20 ,5,고려아연,CUST001
#A2020026,CUST001-#A2020026,R/F Oxide Bin B/F,고체입자상물질 저장시설,10.2 ,0.29 ,5,고려아연,CUST001
#A2020027,CUST001-#A2020027,아연재 투입설비 Bag Filter(산화아연 Bin Bag Filter),고체입자상물질 저장시설,-,0.22 ,5,고려아연,CUST001
#A2020028,CUST001-#A2020028,Fumer HYD Bag Filter[아연재 Hopper(Befesa)],고체입자상물질 저장시설,-,0.30 ,5,고려아연,CUST001
#A2020033,CUST001-#A2020033,CH2 Oxide Bin B/F,고체입자상물질 저장시설,-,0.25 ,5,고려아연,CUST001
#A2020034,CUST001-#A2020034,Pb/Ag CH2 OXIDE LEACHING BIN B/F,고체입자상물질 저장시설,25.2 ,0.29 ,5,고려아연,CUST001
#A2020035,CUST001-#A2020035,M/C SHL #1 Ra',반응시설,16.5 ,0.20 ,5,고려아연,CUST001
#A2020036,CUST001-#A2020036,M/C SHL #2 Ra',반응시설,16.1 ,0.15 ,5,고려아연,CUST001
#A2020037,CUST001-#A2020037,M/C SHL #3 Ra',반응시설,15.7 ,0.15 ,5,고려아연,CUST001
#A2020038,CUST001-#A2020038,M/C SHL #4 Ra',반응시설,15.3 ,0.25 ,5,고려아연,CUST001
#A2020039,CUST001-#A2020039,M/C SHL #5 Ra',반응시설,14.9 ,0.25 ,5,고려아연,CUST001
