항목코드,항목명(한글),항목명(영문),기본단위,구분,항목분류,허용기준값(기본),측정분석방법
EA-I-0001,먼지,Particulate Matter,mg/S㎥,오염물질,무기물질(기본항목),21,ES 01309.2c 자외선/가시선분광법
EA-I-0003,암모니아,Ammonia,ppm,오염물질,무기물질(기본항목),3,ES 01309.2c 자외선/가시선분광법
EA-I-0004,일산화탄소,Carbon Monoxide,ppm,오염물질,무기물질(기본항목),,ES 01309.2c 자외선/가시선분광법
EA-I-0005,염화수소,Hydrogen Chloride,ppm,오염물질,무기물질,3,ES 01309.2c 자외선/가시선분광법
EA-I-0006,염소,Chlorine,ppm,오염물질,무기물질,,ES 01309.2c 자외선/가시선분광법
EA-I-0007,황산화물,Sulfur Oxides,ppm,오염물질,무기물질(기본항목),14,ES 01309.2c 자외선/가시선분광법
EA-I-0008,질소산화물,Nitrogen Oxides,ppm,오염물질,무기물질(기본항목),,ES 01309.2c 자외선/가시선분광법
EA-I-0009,이황화탄소,Carbon Disulfide,ppm,오염물질,무기물질(기본항목),,ES 01309.2c 자외선/가시선분광법
EA-I-0010,황화수소,Hydrogen Sulfide,ppm,오염물질,무기물질(기본항목),,ES 01309.2c 자외선/가시선분광법
EA-I-0011,플루오린화합물,Fluorine Compounds,ppm,오염물질,무기물질,2,ES 01309.2c 자외선/가시선분광법
EA-I-0012,사이안화수소,Hydrogen Cyanide,ppm,오염물질,무기물질,,ES 01309.2c 자외선/가시선분광법
EA-I-0013,매연,Smoke,도,오염물질,무기물질(기본항목),,ES 01309.2c 자외선/가시선분광법
EA-I-0018,하이드라진,Hydrazine,ppm,오염물질,무기물질,,ES 01309.2c 자외선/가시선분광법
EA-M-0001,비소화합물 ,Arsenic Compounds,ppm,오염물질,금속화합물,0.25,ES 01309.2c 자외선/가시선분광법
EA-M-0002,카드뮴화합물,Cadmium Compounds,mg/S㎥,오염물질,금속화합물,0.1,ES 01309.2c 자외선/가시선분광법
EA-M-0003,납화합물,Lead Compounds,mg/S㎥,오염물질,금속화합물,0.39,ES 01309.2c 자외선/가시선분광법
EA-M-0004,크로뮴화합물,Chromium Compounds,mg/S㎥,오염물질,금속화합물,,ES 01309.2c 자외선/가시선분광법
EA-M-0005,구리화합물,Copper Compounds,mg/S㎥,오염물질,금속화합물,4,ES 01309.2c 자외선/가시선분광법
EA-M-0006,니켈화합물,Nickel Compounds,mg/S㎥,오염물질,금속화합물,,ES 01309.2c 자외선/가시선분광법
EA-M-0007,아연화합물,Zinc Compounds,mg/S㎥,오염물질,금속화합물,4,ES 01309.2c 자외선/가시선분광법
EA-M-0008,수은화합물,Mercury Compounds,mg/S㎥,오염물질,금속화합물,0.1,ES 01309.2c 자외선/가시선분광법
EA-M-0009,베릴륨화합물,Beryllium Compounds,mg/S㎥,오염물질,금속화합물,,ES 01309.2c 자외선/가시선분광법
EA-V-0001,폼알데하이드,Formaldehyde,ppm,오염물질,휘발성유기화합물,8,ES 01309.2c 자외선/가시선분광법
EA-V-0002,아세트알데하이드,Acetaldehyde,ppm,오염물질,휘발성유기화합물,,ES 01309.2c 자외선/가시선분광법
EA-V-0016,브로민화합물,Bromide Compounds,ppm,오염물질,휘발성유기화합물,,ES 01309.2c 자외선/가시선분광법
EA-V-0018,페놀화합물,Phenols,ppm,오염물질,휘발성유기화합물,,ES 01309.2c 자외선/가시선분광법
EA-V-0044,벤젠,Benzene,ppm,오염물질,휘발성유기화합물,2.9,ES 01309.2c 자외선/가시선분광법
EA-V-0045,총탄화수소,Total Hydrocarbon,ppm,오염물질,휘발성유기화합물,,ES 01309.2c 자외선/가시선분광법
EA-V-0046,사염화탄소,Carbon Tetrachloride,ppm,오염물질,휘발성유기화합물,,ES 01309.2c 자외선/가시선분광법
EA-V-0047,클로로포름,Chloroform,ppm,오염물질,휘발성유기화합물,,ES 01309.2c 자외선/가시선분광법
EA-V-0048,염화바이닐,Vinyl Chlorid,ppm,오염물질,휘발성유기화합물,,ES 01309.2c 자외선/가시선분광법
EA-V-0056,다이클로로메테인,Dichloromethane,ppm,오염물질,휘발성유기화합물,,ES 01309.2c 자외선/가시선분광법
EA-V-0060,"1,2-다이클로로에테인","1,2-Dichloroethane",ppm,오염물질,휘발성유기화합물,,ES 01309.2c 자외선/가시선분광법
EA-V-0063,트라이클로로에틸렌,Trichloroethylene,ppm,오염물질,휘발성유기화합물,,ES 01309.2c 자외선/가시선분광법
EA-V-0069,테트라클로로에틸렌,Tetrachloroethylene,ppm,오염물질,휘발성유기화합물,,ES 01309.2c 자외선/가시선분광법
EA-V-0071,에틸벤젠,Ethylbenzene,ppm,오염물질,휘발성유기화합물,,ES 01309.2c 자외선/가시선분광법
EA-V-0074,스타이렌,Styrene,ppm,오염물질,휘발성유기화합물,,ES 01309.2c 자외선/가시선분광법
EA-V-0085,"1,3-뷰타다이엔","1,3-Butadiene",ppm,오염물질,휘발성유기화합물,,ES 01309.2c 자외선/가시선분광법
EA-V-0086,아크릴로나이트릴,Acrylonitrile,ppm,오염물질,휘발성유기화합물,,ES 01309.2c 자외선/가시선분광법
EA-V-0087,아닐린,Aniline,ppm,오염물질,휘발성유기화합물,,ES 01309.2c 자외선/가시선분광법
